source,region,country,year,metric_type,value
Energy Institute,Non-OECD,,2021,CO₂ emissions from energy (MtCO₂),22523.66903
Energy Institute,Non-OECD,,2022,CO₂ emissions from energy (MtCO₂),23022.92096
Energy Institute,Non-OECD,,2023,CO₂ emissions from energy (MtCO₂),24021.3249
Energy Institute,Africa,Egypt,1965,CO₂ emissions from energy (MtCO₂),22.90155815
Energy Institute,Africa,Eastern Africa,1965,CO₂ emissions from energy (MtCO₂),25.23148361
Energy Institute,Africa,Other Southern Africa,1965,CO₂ emissions from energy (MtCO₂),0.293863448
Energy Institute,Africa,Western Africa,1965,CO₂ emissions from energy (MtCO₂),14.81555779
Energy Institute,Africa,Other Northern Africa,1965,CO₂ emissions from energy (MtCO₂),5.67042403
Energy Institute,Africa,Middle Africa,1965,CO₂ emissions from energy (MtCO₂),7.00087565
Energy Institute,Africa,South Africa,1965,CO₂ emissions from energy (MtCO₂),113.2041945
Energy Institute,Africa,Algeria,1965,CO₂ emissions from energy (MtCO₂),5.568752751
Energy Institute,Africa,Morocco,1965,CO₂ emissions from energy (MtCO₂),3.571280606
Energy Institute,Africa,Western Africa,1966,CO₂ emissions from energy (MtCO₂),15.27097731
Energy Institute,Africa,Morocco,1966,CO₂ emissions from energy (MtCO₂),5.345992446
Energy Institute,Africa,Eastern Africa,1966,CO₂ emissions from energy (MtCO₂),27.28302059
Energy Institute,Africa,Algeria,1966,CO₂ emissions from energy (MtCO₂),6.867506042
Energy Institute,Africa,Other Northern Africa,1966,CO₂ emissions from energy (MtCO₂),6.021402348
Energy Institute,Africa,Middle Africa,1966,CO₂ emissions from energy (MtCO₂),7.17750836
Energy Institute,Africa,South Africa,1966,CO₂ emissions from energy (MtCO₂),113.5219119
Energy Institute,Africa,Other Southern Africa,1966,CO₂ emissions from energy (MtCO₂),0.40680554
Energy Institute,Africa,Egypt,1966,CO₂ emissions from energy (MtCO₂),24.02528582
Energy Institute,Africa,Middle Africa,1967,CO₂ emissions from energy (MtCO₂),7.27398225
Energy Institute,Africa,Other Southern Africa,1967,CO₂ emissions from energy (MtCO₂),0.440488302
Energy Institute,Africa,South Africa,1967,CO₂ emissions from energy (MtCO₂),116.8426636
Energy Institute,Africa,Egypt,1967,CO₂ emissions from energy (MtCO₂),20.12455731
Energy Institute,Africa,Eastern Africa,1967,CO₂ emissions from energy (MtCO₂),28.56745397
Energy Institute,Africa,Other Northern Africa,1967,CO₂ emissions from energy (MtCO₂),6.344663345
Energy Institute,Africa,Algeria,1967,CO₂ emissions from energy (MtCO₂),6.369306862
Energy Institute,Africa,Morocco,1967,CO₂ emissions from energy (MtCO₂),5.749225549
Energy Institute,Africa,Western Africa,1967,CO₂ emissions from energy (MtCO₂),14.6904069
Energy Institute,Africa,Middle Africa,1968,CO₂ emissions from energy (MtCO₂),7.557170864
Energy Institute,Africa,Morocco,1968,CO₂ emissions from energy (MtCO₂),6.080285165
Energy Institute,Africa,Eastern Africa,1968,CO₂ emissions from energy (MtCO₂),29.65062631
Energy Institute,Africa,Egypt,1968,CO₂ emissions from energy (MtCO₂),21.06265354
Energy Institute,Africa,Other Southern Africa,1968,CO₂ emissions from energy (MtCO₂),0.488178798
Energy Institute,Africa,South Africa,1968,CO₂ emissions from energy (MtCO₂),123.1052008
Energy Institute,Africa,Other Northern Africa,1968,CO₂ emissions from energy (MtCO₂),7.048567965
Energy Institute,Africa,Algeria,1968,CO₂ emissions from energy (MtCO₂),6.771137208
Energy Institute,Africa,Western Africa,1968,CO₂ emissions from energy (MtCO₂),14.45893303
Energy Institute,Africa,Morocco,1969,CO₂ emissions from energy (MtCO₂),6.490751987
Energy Institute,Africa,Egypt,1969,CO₂ emissions from energy (MtCO₂),15.88050081
Energy Institute,Africa,Western Africa,1969,CO₂ emissions from energy (MtCO₂),15.6448422
Energy Institute,Africa,Eastern Africa,1969,CO₂ emissions from energy (MtCO₂),31.50296001
Energy Institute,Africa,Algeria,1969,CO₂ emissions from energy (MtCO₂),7.592118178
Energy Institute,Africa,Other Northern Africa,1969,CO₂ emissions from energy (MtCO₂),7.499033157
Energy Institute,Africa,Other Southern Africa,1969,CO₂ emissions from energy (MtCO₂),0.514284019
Energy Institute,Africa,South Africa,1969,CO₂ emissions from energy (MtCO₂),126.2520768
Energy Institute,Africa,Middle Africa,1969,CO₂ emissions from energy (MtCO₂),7.801241632
Energy Institute,Africa,South Africa,1970,CO₂ emissions from energy (MtCO₂),131.6216986
Energy Institute,Africa,Western Africa,1970,CO₂ emissions from energy (MtCO₂),16.56078974
Energy Institute,Africa,Algeria,1970,CO₂ emissions from energy (MtCO₂),8.264424756
Energy Institute,Africa,Morocco,1970,CO₂ emissions from energy (MtCO₂),6.887442924
Energy Institute,Africa,Other Northern Africa,1970,CO₂ emissions from energy (MtCO₂),8.339203404
Energy Institute,Africa,Middle Africa,1970,CO₂ emissions from energy (MtCO₂),7.926001695
Energy Institute,Africa,Egypt,1970,CO₂ emissions from energy (MtCO₂),20.20058946
Energy Institute,Africa,Eastern Africa,1970,CO₂ emissions from energy (MtCO₂),33.50754172
Energy Institute,Africa,Other Southern Africa,1970,CO₂ emissions from energy (MtCO₂),0.573669136
Energy Institute,Africa,Other Southern Africa,1971,CO₂ emissions from energy (MtCO₂),0.610422121
Energy Institute,Africa,Morocco,1971,CO₂ emissions from energy (MtCO₂),7.250057977
Energy Institute,Africa,Eastern Africa,1971,CO₂ emissions from energy (MtCO₂),35.50788351
Energy Institute,Africa,Middle Africa,1971,CO₂ emissions from energy (MtCO₂),9.214167937
Energy Institute,Africa,Other Northern Africa,1971,CO₂ emissions from energy (MtCO₂),7.400612474
Energy Institute,Africa,Egypt,1971,CO₂ emissions from energy (MtCO₂),20.49243865
Energy Institute,Africa,South Africa,1971,CO₂ emissions from energy (MtCO₂),142.2175867
Energy Institute,Africa,Algeria,1971,CO₂ emissions from energy (MtCO₂),8.930844279
Energy Institute,Africa,Western Africa,1971,CO₂ emissions from energy (MtCO₂),20.90106309
Energy Institute,Africa,Western Africa,1972,CO₂ emissions from energy (MtCO₂),22.21544249
Energy Institute,Africa,Egypt,1972,CO₂ emissions from energy (MtCO₂),23.1321353
Energy Institute,Africa,Other Southern Africa,1972,CO₂ emissions from energy (MtCO₂),0.638551959
Energy Institute,Africa,South Africa,1972,CO₂ emissions from energy (MtCO₂),145.6931286
Energy Institute,Africa,Morocco,1972,CO₂ emissions from energy (MtCO₂),7.913673999
Energy Institute,Africa,Algeria,1972,CO₂ emissions from energy (MtCO₂),9.98648048
Energy Institute,Africa,Other Northern Africa,1972,CO₂ emissions from energy (MtCO₂),9.087042984
Energy Institute,Africa,Middle Africa,1972,CO₂ emissions from energy (MtCO₂),9.488989414
Energy Institute,Africa,Eastern Africa,1972,CO₂ emissions from energy (MtCO₂),35.1500161
Energy Institute,Africa,Other Northern Africa,1973,CO₂ emissions from energy (MtCO₂),11.73886095
Energy Institute,Africa,Other Southern Africa,1973,CO₂ emissions from energy (MtCO₂),0.722924296
Energy Institute,Africa,Eastern Africa,1973,CO₂ emissions from energy (MtCO₂),37.53680495
Energy Institute,Africa,Morocco,1973,CO₂ emissions from energy (MtCO₂),9.257988416
Energy Institute,Africa,Middle Africa,1973,CO₂ emissions from energy (MtCO₂),10.60920582
Energy Institute,Africa,South Africa,1973,CO₂ emissions from energy (MtCO₂),156.6097823
Energy Institute,Africa,Western Africa,1973,CO₂ emissions from energy (MtCO₂),24.53393764
Energy Institute,Africa,Algeria,1973,CO₂ emissions from energy (MtCO₂),11.61221403
Energy Institute,Africa,Egypt,1973,CO₂ emissions from energy (MtCO₂),21.60422898
Energy Institute,Africa,Algeria,1974,CO₂ emissions from energy (MtCO₂),12.97369551
Energy Institute,Africa,Western Africa,1974,CO₂ emissions from energy (MtCO₂),25.39928386
Energy Institute,Africa,Other Southern Africa,1974,CO₂ emissions from energy (MtCO₂),0.874569667
Energy Institute,Africa,Eastern Africa,1974,CO₂ emissions from energy (MtCO₂),37.0650794
Energy Institute,Africa,South Africa,1974,CO₂ emissions from energy (MtCO₂),161.7656799
Energy Institute,Africa,Middle Africa,1974,CO₂ emissions from energy (MtCO₂),10.97554112
Energy Institute,Africa,Egypt,1974,CO₂ emissions from energy (MtCO₂),24.62066332
Energy Institute,Africa,Other Northern Africa,1974,CO₂ emissions from energy (MtCO₂),12.66785129
Energy Institute,Africa,Morocco,1974,CO₂ emissions from energy (MtCO₂),9.847235385
Energy Institute,Africa,Morocco,1975,CO₂ emissions from energy (MtCO₂),10.30000556
Energy Institute,Africa,Eastern Africa,1975,CO₂ emissions from energy (MtCO₂),35.21442332
Energy Institute,Africa,Other Southern Africa,1975,CO₂ emissions from energy (MtCO₂),0.996580267
Energy Institute,Africa,Middle Africa,1975,CO₂ emissions from energy (MtCO₂),9.962083269
Energy Institute,Africa,Algeria,1975,CO₂ emissions from energy (MtCO₂),15.4752295
Energy Institute,Africa,Egypt,1975,CO₂ emissions from energy (MtCO₂),27.53061414
Energy Institute,Africa,Western Africa,1975,CO₂ emissions from energy (MtCO₂),27.48345188
Energy Institute,Africa,Other Northern Africa,1975,CO₂ emissions from energy (MtCO₂),13.91343332
Energy Institute,Africa,South Africa,1975,CO₂ emissions from energy (MtCO₂),172.4999205
Energy Institute,Africa,Eastern Africa,1976,CO₂ emissions from energy (MtCO₂),38.30289172
Energy Institute,Africa,Western Africa,1976,CO₂ emissions from energy (MtCO₂),30.71854942
Energy Institute,Africa,Other Northern Africa,1976,CO₂ emissions from energy (MtCO₂),16.77468126
Energy Institute,Africa,Egypt,1976,CO₂ emissions from energy (MtCO₂),32.52211246
Energy Institute,Africa,South Africa,1976,CO₂ emissions from energy (MtCO₂),180.0370668
Energy Institute,Africa,Morocco,1976,CO₂ emissions from energy (MtCO₂),11.27637792
Energy Institute,Africa,Other Southern Africa,1976,CO₂ emissions from energy (MtCO₂),1.293110144
Energy Institute,Africa,Algeria,1976,CO₂ emissions from energy (MtCO₂),17.88375818
Energy Institute,Africa,Middle Africa,1976,CO₂ emissions from energy (MtCO₂),9.97631184
Energy Institute,Africa,Morocco,1977,CO₂ emissions from energy (MtCO₂),12.39482827
Energy Institute,Africa,Eastern Africa,1977,CO₂ emissions from energy (MtCO₂),36.55590276
Energy Institute,Africa,Other Northern Africa,1977,CO₂ emissions from energy (MtCO₂),19.11300781
Energy Institute,Africa,Other Southern Africa,1977,CO₂ emissions from energy (MtCO₂),1.455645682
Energy Institute,Africa,South Africa,1977,CO₂ emissions from energy (MtCO₂),184.9938995
Energy Institute,Africa,Algeria,1977,CO₂ emissions from energy (MtCO₂),19.34421094
Energy Institute,Africa,Egypt,1977,CO₂ emissions from energy (MtCO₂),35.09212543
Energy Institute,Africa,Middle Africa,1977,CO₂ emissions from energy (MtCO₂),10.65999003
Energy Institute,Africa,Western Africa,1977,CO₂ emissions from energy (MtCO₂),34.06841732
Energy Institute,Africa,Algeria,1978,CO₂ emissions from energy (MtCO₂),24.53464151
Energy Institute,Africa,Eastern Africa,1978,CO₂ emissions from energy (MtCO₂),35.93502962
Energy Institute,Africa,Western Africa,1978,CO₂ emissions from energy (MtCO₂),37.13449248
Energy Institute,Africa,Other Northern Africa,1978,CO₂ emissions from energy (MtCO₂),21.26313912
Energy Institute,Africa,Middle Africa,1978,CO₂ emissions from energy (MtCO₂),12.47089038
Energy Institute,Africa,Other Southern Africa,1978,CO₂ emissions from energy (MtCO₂),1.698683895
Energy Institute,Africa,Morocco,1978,CO₂ emissions from energy (MtCO₂),13.22591786
Energy Institute,Africa,South Africa,1978,CO₂ emissions from energy (MtCO₂),182.2441034
Energy Institute,Africa,Egypt,1978,CO₂ emissions from energy (MtCO₂),36.20666067
Energy Institute,Africa,Western Africa,1979,CO₂ emissions from energy (MtCO₂),38.86962004
Energy Institute,Africa,Middle Africa,1979,CO₂ emissions from energy (MtCO₂),12.48005901
Energy Institute,Africa,Morocco,1979,CO₂ emissions from energy (MtCO₂),14.78652276
Energy Institute,Africa,Eastern Africa,1979,CO₂ emissions from energy (MtCO₂),36.06494937
Energy Institute,Africa,South Africa,1979,CO₂ emissions from energy (MtCO₂),190.1363219
Energy Institute,Africa,Other Southern Africa,1979,CO₂ emissions from energy (MtCO₂),1.862873055
Energy Institute,Africa,Other Northern Africa,1979,CO₂ emissions from energy (MtCO₂),25.62199629
Energy Institute,Africa,Algeria,1979,CO₂ emissions from energy (MtCO₂),32.1114069
Energy Institute,Africa,Egypt,1979,CO₂ emissions from energy (MtCO₂),40.36320603
Energy Institute,Africa,Algeria,1980,CO₂ emissions from energy (MtCO₂),38.51578522
Energy Institute,Africa,Egypt,1980,CO₂ emissions from energy (MtCO₂),45.24712029
Energy Institute,Africa,Morocco,1980,CO₂ emissions from energy (MtCO₂),14.92587007
Energy Institute,Africa,Other Southern Africa,1980,CO₂ emissions from energy (MtCO₂),1.947800666
Energy Institute,Africa,Middle Africa,1980,CO₂ emissions from energy (MtCO₂),13.07954109
Energy Institute,Africa,Other Northern Africa,1980,CO₂ emissions from energy (MtCO₂),27.18697266
Energy Institute,Africa,South Africa,1980,CO₂ emissions from energy (MtCO₂),205.8576383
Energy Institute,Africa,Eastern Africa,1980,CO₂ emissions from energy (MtCO₂),37.30060702
Energy Institute,Africa,Western Africa,1980,CO₂ emissions from energy (MtCO₂),43.18909392
Energy Institute,Africa,Other Southern Africa,1981,CO₂ emissions from energy (MtCO₂),1.95974972
Energy Institute,Africa,South Africa,1981,CO₂ emissions from energy (MtCO₂),240.268661
Energy Institute,Africa,Middle Africa,1981,CO₂ emissions from energy (MtCO₂),13.87580856
Energy Institute,Africa,Eastern Africa,1981,CO₂ emissions from energy (MtCO₂),35.91258727
Energy Institute,Africa,Western Africa,1981,CO₂ emissions from energy (MtCO₂),48.47153216
Energy Institute,Africa,Algeria,1981,CO₂ emissions from energy (MtCO₂),46.31017951
Energy Institute,Africa,Egypt,1981,CO₂ emissions from energy (MtCO₂),52.27386339
Energy Institute,Africa,Morocco,1981,CO₂ emissions from energy (MtCO₂),14.84357767
Energy Institute,Africa,Other Northern Africa,1981,CO₂ emissions from energy (MtCO₂),29.2416728
Energy Institute,Africa,Other Southern Africa,1982,CO₂ emissions from energy (MtCO₂),2.017876578
Energy Institute,Africa,Western Africa,1982,CO₂ emissions from energy (MtCO₂),51.31238354
Energy Institute,Africa,Other Northern Africa,1982,CO₂ emissions from energy (MtCO₂),29.86231623
Energy Institute,Africa,South Africa,1982,CO₂ emissions from energy (MtCO₂),264.0468121
Energy Institute,Africa,Morocco,1982,CO₂ emissions from energy (MtCO₂),15.66337475
Energy Institute,Africa,Egypt,1982,CO₂ emissions from energy (MtCO₂),59.31620955
Energy Institute,Africa,Algeria,1982,CO₂ emissions from energy (MtCO₂),54.25844322
Energy Institute,Africa,Eastern Africa,1982,CO₂ emissions from energy (MtCO₂),34.20293153
Energy Institute,Africa,Middle Africa,1982,CO₂ emissions from energy (MtCO₂),12.85726968
Energy Institute,Africa,Other Southern Africa,1983,CO₂ emissions from energy (MtCO₂),1.836847457
Energy Institute,Africa,Egypt,1983,CO₂ emissions from energy (MtCO₂),64.89413518
Energy Institute,Africa,Eastern Africa,1983,CO₂ emissions from energy (MtCO₂),36.26971197
Energy Institute,Africa,Morocco,1983,CO₂ emissions from energy (MtCO₂),16.27367371
Energy Institute,Africa,Algeria,1983,CO₂ emissions from energy (MtCO₂),59.03239028
Energy Institute,Africa,Other Northern Africa,1983,CO₂ emissions from energy (MtCO₂),31.95308544
Energy Institute,Africa,Western Africa,1983,CO₂ emissions from energy (MtCO₂),49.62771393
Energy Institute,Africa,Middle Africa,1983,CO₂ emissions from energy (MtCO₂),14.50932035
Energy Institute,Africa,South Africa,1983,CO₂ emissions from energy (MtCO₂),270.392157
Energy Institute,Africa,Middle Africa,1984,CO₂ emissions from energy (MtCO₂),12.98597187
Energy Institute,Africa,Egypt,1984,CO₂ emissions from energy (MtCO₂),70.88674976
