source,technology,region,country,year,metric_type,value
Energy Institute,Biofuels,Asia Pacific,South Korea,2011,Primary energy consumption (EJ),0.014071835
Energy Institute,Biofuels,Asia Pacific,Australia,2011,Primary energy consumption (EJ),0.011043501
Energy Institute,Biofuels,Asia Pacific,China,2011,Primary energy consumption (EJ),0.078842856
Energy Institute,Biofuels,Asia Pacific,Thailand,2011,Primary energy consumption (EJ),0.030352242
Energy Institute,Biofuels,Asia Pacific,Australia,2012,Primary energy consumption (EJ),0.010734367
Energy Institute,Biofuels,Asia Pacific,China,2012,Primary energy consumption (EJ),0.092870656
Energy Institute,Biofuels,Asia Pacific,South Korea,2012,Primary energy consumption (EJ),0.015068294
Energy Institute,Biofuels,Asia Pacific,India,2012,Primary energy consumption (EJ),0.010606151
Energy Institute,Biofuels,Asia Pacific,Indonesia,2012,Primary energy consumption (EJ),0.022021456
Energy Institute,Biofuels,Asia Pacific,Thailand,2012,Primary energy consumption (EJ),0.039914691
Energy Institute,Biofuels,Asia Pacific,Other Asia Pacific,2012,Primary energy consumption (EJ),0.027191978
Energy Institute,Biofuels,Asia Pacific,South Korea,2013,Primary energy consumption (EJ),0.022956224
Energy Institute,Biofuels,Asia Pacific,Thailand,2013,Primary energy consumption (EJ),0.051481517
Energy Institute,Biofuels,Asia Pacific,Australia,2013,Primary energy consumption (EJ),0.010517304
Energy Institute,Biofuels,Asia Pacific,India,2013,Primary energy consumption (EJ),0.012343747
Energy Institute,Biofuels,Asia Pacific,Indonesia,2013,Primary energy consumption (EJ),0.034496989
Energy Institute,Biofuels,Asia Pacific,China,2013,Primary energy consumption (EJ),0.127381925
Energy Institute,Biofuels,Asia Pacific,Other Asia Pacific,2013,Primary energy consumption (EJ),0.03540926
Energy Institute,Biofuels,Asia Pacific,Other Asia Pacific,2014,Primary energy consumption (EJ),0.041063157
Energy Institute,Biofuels,Asia Pacific,China,2014,Primary energy consumption (EJ),0.133037165
Energy Institute,Biofuels,Asia Pacific,Australia,2014,Primary energy consumption (EJ),0.010809955
Energy Institute,Biofuels,Asia Pacific,Thailand,2014,Primary energy consumption (EJ),0.062685195
Energy Institute,Biofuels,Asia Pacific,South Korea,2014,Primary energy consumption (EJ),0.018995512
Energy Institute,Biofuels,Asia Pacific,India,2014,Primary energy consumption (EJ),0.01077391
Energy Institute,Biofuels,Asia Pacific,Indonesia,2014,Primary energy consumption (EJ),0.060731813
Energy Institute,Biofuels,Asia Pacific,Indonesia,2015,Primary energy consumption (EJ),0.03011903
Energy Institute,Biofuels,Asia Pacific,Thailand,2015,Primary energy consumption (EJ),0.066655461
Energy Institute,Biofuels,Asia Pacific,Australia,2015,Primary energy consumption (EJ),0.008592338
Energy Institute,Biofuels,Asia Pacific,India,2015,Primary energy consumption (EJ),0.012929777
Energy Institute,Biofuels,Asia Pacific,South Korea,2015,Primary energy consumption (EJ),0.018648008
Energy Institute,Biofuels,Asia Pacific,Other Asia Pacific,2015,Primary energy consumption (EJ),0.048541357
Energy Institute,Biofuels,Asia Pacific,China,2015,Primary energy consumption (EJ),0.098276196
Energy Institute,Biofuels,Asia Pacific,South Korea,2016,Primary energy consumption (EJ),0.018543337
Energy Institute,Biofuels,Asia Pacific,India,2016,Primary energy consumption (EJ),0.027324937
Energy Institute,Biofuels,Asia Pacific,China,2016,Primary energy consumption (EJ),0.100132896
Energy Institute,Biofuels,Asia Pacific,Australia,2016,Primary energy consumption (EJ),0.006681492
Energy Institute,Biofuels,Asia Pacific,Thailand,2016,Primary energy consumption (EJ),0.068915237
Energy Institute,Biofuels,Asia Pacific,Other Asia Pacific,2016,Primary energy consumption (EJ),0.053234638
Energy Institute,Biofuels,Asia Pacific,Indonesia,2016,Primary energy consumption (EJ),0.099014252
Energy Institute,Biofuels,Asia Pacific,Thailand,2017,Primary energy consumption (EJ),0.076238802
Energy Institute,Biofuels,Asia Pacific,Other Asia Pacific,2017,Primary energy consumption (EJ),0.05524812
Energy Institute,Biofuels,Asia Pacific,Australia,2017,Primary energy consumption (EJ),0.006602979
Energy Institute,Biofuels,Asia Pacific,India,2017,Primary energy consumption (EJ),0.019682868
Energy Institute,Biofuels,Asia Pacific,South Korea,2017,Primary energy consumption (EJ),0.01792369
Energy Institute,Biofuels,Asia Pacific,China,2017,Primary energy consumption (EJ),0.093369177
