source,group_technology,technology,project_type,region,country,period,year,metric_type,value_category,country_value,regional_value
IRENA,Wind,Onshore wind,,,Germany,1984-2009,1996,Total installed cost (USD/kW),Weighted average,2724.070781,
IRENA,Wind,Onshore wind,,,Germany,1984-2009,1997,Total installed cost (USD/kW),Weighted average,2698.789381,
IRENA,Wind,Onshore wind,,,Germany,1984-2009,1998,Total installed cost (USD/kW),Weighted average,2812.555679,
IRENA,Wind,Onshore wind,,,Germany,1984-2009,1999,Total installed cost (USD/kW),Weighted average,2675.460053,
IRENA,Wind,Onshore wind,,,Germany,1984-2009,2000,Total installed cost (USD/kW),Weighted average,2645.963006,
IRENA,Wind,Onshore wind,,,Germany,1984-2009,2001,Total installed cost (USD/kW),Weighted average,2610.860049,
IRENA,Wind,Onshore wind,,,Germany,1984-2009,2002,Total installed cost (USD/kW),Weighted average,2640.288525,
IRENA,Wind,Onshore wind,,,Germany,1984-2009,2003,Total installed cost (USD/kW),Weighted average,2613.494179,
IRENA,Wind,Onshore wind,,,Germany,1984-2009,2004,Total installed cost (USD/kW),Weighted average,2623.031356,
IRENA,Wind,Onshore wind,,,Germany,1984-2009,2005,Total installed cost (USD/kW),Weighted average,2593.860318,
IRENA,Wind,Onshore wind,,,Germany,1984-2009,2006,Total installed cost (USD/kW),Weighted average,2544.197229,
IRENA,Wind,Onshore wind,,,Germany,1984-2009,2007,Total installed cost (USD/kW),Weighted average,2537.190347,
IRENA,Wind,Onshore wind,,,Germany,1984-2009,2008,Total installed cost (USD/kW),Weighted average,2738.176926,
IRENA,Wind,Onshore wind,,,Germany,1984-2009,2009,Total installed cost (USD/kW),Weighted average,2686.121122,
IRENA,Wind,Onshore wind,,,Germany,2010-2015,2010,Total installed cost (USD/kW),Weighted average,2641.711363,
IRENA,Wind,Onshore wind,,,Germany,2010-2015,2011,Total installed cost (USD/kW),Weighted average,2641.711363,
IRENA,Wind,Onshore wind,,,Germany,2010-2015,2012,Total installed cost (USD/kW),Weighted average,2399.989454,
IRENA,Wind,Onshore wind,,,Germany,2010-2015,2013,Total installed cost (USD/kW),Weighted average,2370.907063,
IRENA,Wind,Onshore wind,,,Germany,2010-2015,2014,Total installed cost (USD/kW),Weighted average,2339.014547,
IRENA,Wind,Onshore wind,,,Germany,2010-2015,2015,Total installed cost (USD/kW),Weighted average,2295.449965,
IRENA,Wind,Onshore wind,,,Germany,2016-2023,2016,Total installed cost (USD/kW),Weighted average,2251.687562,
IRENA,Wind,Onshore wind,,,Germany,2016-2023,2017,Total installed cost (USD/kW),Weighted average,2251.336974,
IRENA,Wind,Onshore wind,,,Germany,2016-2023,2018,Total installed cost (USD/kW),Weighted average,2214.287561,
IRENA,Wind,Onshore wind,,,Germany,2016-2023,2019,Total installed cost (USD/kW),Weighted average,2049.636144,
IRENA,Wind,Onshore wind,,,Germany,2016-2023,2020,Total installed cost (USD/kW),Weighted average,2040.370535,
IRENA,Wind,Onshore wind,,,Germany,2016-2023,2021,Total installed cost (USD/kW),Weighted average,1898.879704,
IRENA,Wind,Onshore wind,,,Germany,2016-2023,2022,Total installed cost (USD/kW),Weighted average,1964.802321,
IRENA,Wind,Onshore wind,,,Germany,2016-2023,2023,Total installed cost (USD/kW),Weighted average,1750.019656,
IRENA,Wind,Onshore wind,,,India,1984-2009,1990,Total installed cost (USD/kW),Weighted average,4171.430894,
IRENA,Wind,Onshore wind,,,India,1984-2009,1991,Total installed cost (USD/kW),Weighted average,4171.430894,
IRENA,Wind,Onshore wind,,,India,1984-2009,1992,Total installed cost (USD/kW),Weighted average,3792.209904,
IRENA,Wind,Onshore wind,,,India,1984-2009,1993,Total installed cost (USD/kW),Weighted average,3792.209904,
IRENA,Wind,Onshore wind,,,India,1984-2009,1994,Total installed cost (USD/kW),Weighted average,3792.209904,
IRENA,Wind,Onshore wind,,,India,1984-2009,1995,Total installed cost (USD/kW),Weighted average,3539.39591,
IRENA,Wind,Onshore wind,,,India,1984-2009,1996,Total installed cost (USD/kW),Weighted average,3412.988913,
IRENA,Wind,Onshore wind,,,India,1984-2009,1997,Total installed cost (USD/kW),Weighted average,3286.581916,
IRENA,Wind,Onshore wind,,,India,1984-2009,1998,Total installed cost (USD/kW),Weighted average,3160.17492,
IRENA,Wind,Onshore wind,,,India,1984-2009,1999,Total installed cost (USD/kW),Weighted average,3033.767923,
IRENA,Wind,Onshore wind,,,India,1984-2009,2000,Total installed cost (USD/kW),Weighted average,2587.629764,
IRENA,Wind,Onshore wind,,,India,1984-2009,2001,Total installed cost (USD/kW),Weighted average,2245.866163,
IRENA,Wind,Onshore wind,,,India,1984-2009,2002,Total installed cost (USD/kW),Weighted average,2076.924674,
IRENA,Wind,Onshore wind,,,India,1984-2009,2003,Total installed cost (USD/kW),Weighted average,2385.522508,
IRENA,Wind,Onshore wind,,,India,1984-2009,2004,Total installed cost (USD/kW),Weighted average,1910.685422,
IRENA,Wind,Onshore wind,,,India,1984-2009,2005,Total installed cost (USD/kW),Weighted average,1862.407599,
IRENA,Wind,Onshore wind,,,India,1984-2009,2006,Total installed cost (USD/kW),Weighted average,2022.511949,
IRENA,Wind,Onshore wind,,,India,1984-2009,2007,Total installed cost (USD/kW),Weighted average,1889.22002,
IRENA,Wind,Onshore wind,,,India,1984-2009,2008,Total installed cost (USD/kW),Weighted average,1733.236974,
IRENA,Wind,Onshore wind,,,India,1984-2009,2009,Total installed cost (USD/kW),Weighted average,1463.618101,
IRENA,Wind,Onshore wind,,,India,2010-2015,2010,Total installed cost (USD/kW),Weighted average,1593.995617,
IRENA,Wind,Onshore wind,,,India,2010-2015,2011,Total installed cost (USD/kW),Weighted average,1412.356189,
IRENA,Wind,Onshore wind,,,India,2010-2015,2012,Total installed cost (USD/kW),Weighted average,1687.037108,
IRENA,Wind,Onshore wind,,,India,2010-2015,2013,Total installed cost (USD/kW),Weighted average,1733.843778,
IRENA,Wind,Onshore wind,,,India,2010-2015,2014,Total installed cost (USD/kW),Weighted average,1662.685529,
IRENA,Wind,Onshore wind,,,India,2010-2015,2015,Total installed cost (USD/kW),Weighted average,1481.825745,
IRENA,Wind,Onshore wind,,,India,2016-2023,2016,Total installed cost (USD/kW),Weighted average,1363.081373,
IRENA,Wind,Onshore wind,,,India,2016-2023,2017,Total installed cost (USD/kW),Weighted average,1347.687487,
IRENA,Wind,Onshore wind,,,India,2016-2023,2018,Total installed cost (USD/kW),Weighted average,1349.013517,
IRENA,Wind,Onshore wind,,,India,2016-2023,2019,Total installed cost (USD/kW),Weighted average,1226.421748,
IRENA,Wind,Onshore wind,,,India,2016-2023,2020,Total installed cost (USD/kW),Weighted average,1193.532086,
IRENA,Wind,Onshore wind,,,India,2016-2023,2021,Total installed cost (USD/kW),Weighted average,1027.241484,
